mapX,mapY,pixelX,pixelY,enable
133.88069999999999027,-23.6980000000000004,356.57613813579638418,-201.52479831453925385,1
148.63300000000000978,-32.23149999999999693,541.53574106285964262,-336.46127114323422802,1
120.22499999999999432,-26.59499999999999886,177.43092460412668743,-252.59839476367571365,1
127.6728999999999985,-18.22469999999999857,269.54635766554696374,-123.54996026271618348,1
142.19620000000000459,-36.71889999999999787,455.25407869481949774,-394.54702120321644543,1
141.07519999999999527,-17.67419999999999902,457.57983445297708158,-115.58037053142973605,1
130.41579999999999018,-30.61250000000000071,312.44104636516317441,-303.52469334812894886,1
122.14780000000000371,-21.69239999999999924,197.54871191218819604,-179.48438624640158423,1
132.27150000000000318,-14.45209999999999972,334.64038507677554435,-66.51080029390648463,1
119.73499999999999943,-23.35930000000000106,166.48761499261414087,-206.64479138734469643,1
114.61499999999999488,-28.77740000000000009,109.53755371810431996,-293.53143354420745936,1
144.25550000000001205,-23.4421999999999997,495.58841156124168492,-202.49053280891311601,1
118.58780000000000143,-20.31070000000000064,146.579774472169305,-165.0201235604606893,1
113.66100000000000136,-24.88400000000000034,88.94754678502924605,-239.03342430422264897,1
153.10939999999999372,-30.29860000000000042,600.33859914827235116,-314.81236129438622129,1
